run_time_s,segment_id,phase_time_s,event,sigma_min,sigma_rate_per_s,sigma_plus,sigma_minus,probe_difference,probe_confidence,gradient_abs_per_rad,direction_valid,push_active,k_sigma_Nm,alpha_rad,tau_sigma_norm_Nm,sigma_power_W,nullspace_speed_rad_s,speed_toward_better_rad_s,peak_nullspace_speed_rad_s,peak_abs_speed_toward_better_rad_s,min_speed_toward_better_rad_s,max_speed_toward_better_rad_s,raw_joint_speed_rad_s,nullspace_speed_fraction,raw_velocity_dominant_joint,raw_velocity_dominant_share_pct,sigma_dominant_joint,sigma_dominant_share_pct,position_error_mm,rotation_error_deg,peak_position_error_mm,peak_rotation_error_deg,cartesian_speed_mm_s,angular_speed_deg_s,command_force_norm_N,command_moment_norm_Nm,tau_task_norm_Nm,tau_nullspace_norm_Nm,tau_cmd_norm_Nm,nullspace_damping_Nms_rad,disturbance_scale,disturbance_force_norm_N,disturbance_tau_norm_Nm,disturbance_torque_scale,external_force_delta_norm_N,external_moment_delta_norm_Nm,external_joint_torque_delta_norm_Nm,external_joint_torque_along_nbest_Nm,peak_external_force_delta_norm_N,peak_external_moment_delta_norm_Nm,peak_external_joint_torque_delta_norm_Nm,external_joint_torque_baseline_valid,joint_contact,cartesian_contact,Jn_norm,e_p_x_mm,e_p_y_mm,e_p_z_mm,e_R_x_deg,e_R_y_deg,e_R_z_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,dq5_rad_s,dq6_rad_s,dq7_rad_s,n_best_1,n_best_2,n_best_3,n_best_4,n_best_5,n_best_6,n_best_7,dqN_1_rad_s,dqN_2_rad_s,dqN_3_rad_s,dqN_4_rad_s,dqN_5_rad_s,dqN_6_rad_s,dqN_7_rad_s,tau_sigma_1_Nm,tau_sigma_2_Nm,tau_sigma_3_Nm,tau_sigma_4_Nm,tau_sigma_5_Nm,tau_sigma_6_Nm,tau_sigma_7_Nm,tau_ext_delta_1_Nm,tau_ext_delta_2_Nm,tau_ext_delta_3_Nm,tau_ext_delta_4_Nm,tau_ext_delta_5_Nm,tau_ext_delta_6_Nm,tau_ext_delta_7_Nm
0.000000000,0,0.000000000,hold_start,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.837371814,12.106777769,-0.520887900,-130.918602691,-0.127735756,142.885448012,44.745941373,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,0,0.000000000,sample,0.216514873,,0.215825049,0.216204175,0.000379126,379.125789232,0.002369536,1,1,2.000000000,0.080000000,2.000000000,-0.000603186,0.000301593,-0.000301593,0.000301593,0.000301593,-0.000301593,0.000000000,0.001488322,0.202639438,2,64.764456078,1,46.349283205,0.045251401,0.003873465,0.045251401,0.003873465,0.754269936,0.090118007,0.056560154,0.010203806,0.035473773,2.000000000,2.000314518,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.879798512,0.595807123,0.000000000,0.000000000,0.879798512,0.595807123,0.000000000,1,0,0,0.000000000,-0.014503170,0.016071750,-0.039737215,0.001244951,0.003664070,0.000168589,0.839671151,12.102872912,-0.524671768,-130.917861869,-0.128578377,142.884455452,44.745380889,0.000712153,0.001197748,0.000215267,0.000292623,-0.000119360,-0.000349586,0.000070121,-0.680803079,-0.001285501,0.673995880,0.000098548,-0.234282621,-0.000300821,0.165368142,0.000205325,0.000000388,-0.000203272,-0.000000030,0.000070658,0.000000091,-0.000049874,-1.361606158,-0.002571002,1.347991760,0.000197096,-0.468565243,-0.000601641,0.330736284,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.050000000,0,0.050000000,sample,0.216523840,0.000179348,0.215885645,0.216162309,0.000276665,276.664611626,0.001729154,1,1,2.000000000,0.080000000,2.000000000,0.273421288,0.136710644,0.136710644,0.136710644,0.136710644,-0.000611139,0.136710644,0.140823207,0.970796273,3,52.506495590,1,46.344548270,0.134691197,0.059986050,0.134691197,0.059986050,6.554587085,1.528710201,0.592516773,0.262365562,0.432910382,2.000000000,2.046647302,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.714063121,0.245430447,0.416298508,0.258475946,0.864784479,0.585263953,0.416298508,1,0,0,0.000000000,0.015190581,-0.123185974,0.052308513,-0.029901400,-0.005279466,0.051733546,0.700448536,12.112431371,-0.377443984,-130.918306016,-0.127703094,142.885763494,44.800979906,-0.094717571,0.002715263,0.102042419,0.000971030,0.000020434,0.000138304,0.020946763,-0.680768303,-0.000919501,0.673942218,0.000097949,-0.234454213,-0.000298985,0.165489218,-0.093068273,-0.000125706,0.092135075,0.000013391,-0.032052386,-0.000040874,0.022624138,-1.361536606,-0.001839003,1.347884437,0.000195898,-0.468908425,-0.000597969,0.330978437,-0.325255079,-0.123766208,0.066148428,-0.021461618,0.049935166,0.210339318,0.024962816
0.100000000,0,0.100000000,sample,0.216534111,0.000205419,0.216052640,0.216016650,0.000035990,35.990450143,0.000224940,1,1,2.000000000,0.080000000,2.000000000,0.355252302,0.177626151,0.177626151,0.178906570,0.178906570,0.000000000,0.178906570,0.183919885,0.965780026,3,51.650687811,1,46.339870010,0.498829894,0.147010517,0.498829894,0.147010517,5.928256940,1.704631070,1.280286623,0.357560583,0.913676400,2.000000000,2.199606768,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.403339323,0.555995434,0.674532964,0.519065140,1.410902757,0.575674588,0.688118427,1,0,0,0.000000000,0.054137993,-0.472378391,0.150860852,-0.102328824,-0.016368002,0.104273643,0.375047655,12.122234019,-0.030747096,-130.919054237,-0.127825882,142.885787289,44.867190496,-0.127335934,0.000521853,0.132180302,0.000803535,0.000365971,0.000066420,0.011806575,-0.680733942,-0.000055147,0.673888685,0.000098114,-0.234624482,-0.000299490,0.165609753,-0.120916150,-0.000009796,0.119700253,0.000017428,-0.041675444,-0.000053197,0.029416623,-1.361467884,-0.000110294,1.347777370,0.000196228,-0.469248965,-0.000598979,0.331219505,-0.539239047,0.064824718,0.229419664,-0.043820344,0.051313614,0.315466149,0.057516452
0.150000000,0,0.150000000,sample,0.216534560,0.000008976,0.216027949,0.216042148,0.000014199,14.198899307,0.000088743,1,1,2.000000000,0.080000000,2.000000000,0.167310444,0.083655222,0.083655222,0.178902326,0.178902326,-0.176303416,0.178902326,0.091419741,0.915067366,3,56.685088422,1,46.340159244,0.294127823,0.181197944,0.557764917,0.184012260,16.499549333,0.512565553,0.392627256,0.091245743,0.380100381,2.000000000,2.035866498,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.129794506,0.474456808,0.716676669,-0.481012616,1.406677483,0.556274908,0.777930644,1,0,0,0.000000000,0.051619474,-0.249878716,0.146312110,-0.130338318,-0.015840331,0.124874745,0.276780689,12.121636969,0.037868431,-130.919274762,-0.105345340,142.886140553,44.838651754,0.039806312,-0.003124138,-0.068829466,-0.000219782,0.012934456,0.000154614,-0.043109148,0.680736067,-0.000112251,-0.673891147,-0.000080856,0.234615644,0.000246808,-0.165603589,0.056947127,-0.000009390,-0.056374513,-0.000006764,0.019626824,0.000020647,-0.013853605,1.361472133,-0.000224501,-1.347782294,-0.000161712,0.469231288,0.000493616,-0.331207178,-0.237888774,-0.121469382,0.527936901,0.008289855,0.197801835,0.347650264,0.059221641
0.200000000,0,0.200000000,sample,0.216534148,-0.000008239,0.216037108,0.216032249,0.000004859,4.859287802,0.000030371,1,1,2.000000000,0.080000000,2.000000000,0.126792111,0.063396055,0.063396055,0.107647028,0.107647028,-0.107647028,0.091636813,0.065210650,0.972173334,1,47.853743702,1,46.339608155,0.160961114,0.184686279,0.283780070,0.184686279,1.326073585,1.153470280,0.385633308,0.318568916,0.636879087,2.000000000,2.099083272,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.323009330,0.846281219,0.695625492,0.314392405,1.498568857,0.888160043,0.737383760,1,0,0,0.000000000,0.050148753,0.000549480,0.152948622,-0.122830033,-0.016334509,0.136948854,0.278329619,12.122623625,0.010919941,-130.918918721,-0.108465216,142.886228312,44.828418705,-0.045110381,0.001784882,0.043846273,-0.000470257,-0.001371349,-0.000169838,0.017019707,-0.680732019,0.000045547,0.673886021,0.000083257,-0.234633409,-0.000254136,0.165615937,-0.043155725,0.000002887,0.042721715,0.000005278,-0.014874833,-0.000016111,0.010499397,-1.361464038,0.000091094,1.347772043,0.000166514,-0.469266817,-0.000508272,0.331231875,-0.341504642,-0.001713946,0.258597539,0.014407859,0.423166838,0.345419106,0.042445997
0.250000000,0,0.250000000,sample,0.216534124,-0.000000482,0.216040265,0.216029036,0.000011229,11.229325690,0.000070183,1,1,2.000000000,0.080000000,2.000000000,0.018437587,0.009218793,0.009218793,0.078899640,0.078899640,-0.078899640,0.068162794,0.010606956,0.869127134,3,76.328730319,1,46.339722878,0.169467944,0.181933014,0.177960409,0.194999741,3.258642349,0.376912189,0.352506594,0.139187057,0.262009173,2.000000000,2.017089000,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.105203622,0.726243862,0.752490955,0.278205267,1.357628827,0.840366240,0.752490955,1,0,0,0.000000000,0.049911779,-0.058583412,0.150984047,-0.121576328,-0.016151784,0.134379827,0.294401849,12.122407140,0.001540627,-130.918914517,-0.107260351,142.886181685,44.831788929,-0.004294258,-0.002759826,0.009266907,0.000099130,-0.000565459,-0.000019682,-0.000494680,-0.680732862,0.000021941,0.673887284,0.000082331,-0.234629357,-0.000251309,0.165613087,-0.006275536,0.000000202,0.006212428,0.000000759,-0.002163000,-0.000002317,0.001526753,-1.361465723,0.000043883,1.347774567,0.000164661,-0.469258715,-0.000502618,0.331226174,-0.112906718,-0.135177768,0.448834126,-0.015972758,0.463095678,0.341957895,0.046061598
0.300000000,0,0.300000000,sample,0.216533721,-0.000008056,0.216039048,0.216029406,0.000009642,9.642284966,0.000060264,1,1,2.000000000,0.080000000,2.000000000,0.016121876,0.008060938,0.008060938,0.051594308,0.051594308,-0.051594308,0.038796404,0.009020092,0.893664737,1,55.294471088,1,46.340036974,0.281030264,0.172204640,0.297539203,0.182780120,0.868910349,0.350142565,0.519351223,0.194306110,0.372760178,2.000000000,2.034441000,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.243366544,0.817283746,0.692256454,0.242140076,1.315044490,1.036080348,0.899159624,1,0,0,0.000000000,0.045540107,-0.238250597,0.141918149,-0.121853542,-0.015016999,0.120750330,0.311357395,12.121688309,0.003884783,-130.918576361,-0.107600991,142.886269111,44.837680302,-0.006707363,-0.000961644,0.005079686,0.000080751,0.001580076,-0.000000807,0.002672492,-0.680735169,0.000027846,0.673891508,0.000082588,-0.234616873,-0.000252093,0.165604098,-0.005487364,0.000000224,0.005432198,0.000000666,-0.001891232,-0.000002032,0.001334924,-1.361470337,0.000055692,1.347783016,0.000165175,-0.469233747,-0.000504186,0.331208195,-0.243616862,-0.036146610,0.267006587,0.000829258,0.474269006,0.346642973,0.046664752
0.350000000,0,0.350000000,sample,0.216534261,0.000010800,0.216038528,0.216031141,0.000007387,7.386880524,0.000046168,1,1,2.000000000,0.080000000,2.000000000,0.025950190,0.012975095,0.012975095,0.046754766,0.046754766,-0.046754766,0.035695128,0.014848852,0.873811297,1,76.537582978,1,46.338945280,0.340917093,0.170376279,0.367646341,0.177061019,3.001045208,0.419043039,0.545686696,0.201558891,0.402886086,2.000000000,2.040177797,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.031650918,0.827325119,0.743868966,0.252433358,1.407953789,1.017955806,0.883175524,1,0,0,0.000000000,0.056525396,-0.292405194,0.165917288,-0.122459313,-0.017766178,0.117115993,0.313795242,12.123952904,0.007149260,-130.919014609,-0.107693710,142.886228312,44.839746676,-0.012990631,-0.000337582,0.006915649,0.000482813,0.001696303,0.000251514,-0.000786094,-0.680727150,0.000036012,0.673878588,0.000082673,-0.234657066,-0.000252354,0.165632683,-0.008832499,0.000000467,0.008743639,0.000001073,-0.003044698,-0.000003274,0.002149100,-1.361454300,0.000072025,1.347757175,0.000165346,-0.469314133,-0.000504708,0.331265366,-0.421724911,-0.129181490,0.099978250,0.006587482,0.473240019,0.348960048,0.055072723
0.400000000,0,0.400000000,sample,0.216534030,-0.000004621,0.216037121,0.216031957,0.000005165,5.164844924,0.000032280,1,1,2.000000000,0.080000000,2.000000000,0.038708680,0.019354340,0.019354340,0.046965120,0.046965120,-0.046965120,0.033798335,0.020619637,0.938636298,1,69.860159400,1,46.339955139,0.301027567,0.173652188,0.334317394,0.178243432,2.942833829,0.489742496,0.468260256,0.213926726,0.376715639,2.000000000,2.035172068,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.149239699,0.782428113,0.695673285,0.254581279,1.268765460,1.014780291,0.899823933,1,0,0,0.000000000,0.048518976,-0.258878972,0.145757274,-0.123016160,-0.015536773,0.121575965,0.306804940,12.121917061,0.010389821,-130.918823193,-0.107920780,142.886228312,44.840568591,-0.017234386,-0.001038139,0.011177857,-0.000241577,0.000552780,0.000060583,0.001324983,-0.680734567,0.000044130,0.673890022,0.000082834,-0.234620826,-0.000252847,0.165607012,-0.013175168,0.000000854,0.013042697,0.000001603,-0.004540931,-0.000004894,0.003205214,-1.361469135,0.000088260,1.347780043,0.000165669,-0.469241653,-0.000505694,0.331214024,-0.284235584,-0.079022154,0.237816299,0.028927067,0.462658806,0.349586971,0.057178348
