time,phase,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,tool_contact_x,tool_contact_y,tool_contact_z,first_contact_tcp_x,first_contact_tcp_y,first_contact_tcp_z,first_contact_x,first_contact_y,first_contact_z,edge_target_x,edge_target_y,edge_target_z,tool_contact_offset_ee_x,tool_contact_offset_ee_y,tool_contact_offset_ee_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,angular_deviation_t1_deg,angular_deviation_t2_deg,angular_deviation_normal_deg,angular_deviation_deg,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,external_force_x,external_force_y,external_force_z,external_moment_x,external_moment_y,external_moment_z,contact_force_bias_x,contact_force_bias_y,contact_force_bias_z,contact_moment_bias_x,contact_moment_bias_y,contact_moment_bias_z,force_after_contact_x,force_after_contact_y,force_after_contact_z,moment_after_contact_x,moment_after_contact_y,moment_after_contact_z,push,nullspace_mode,tau_nullspace_norm,nullspace_damping,disturbance_scale,disturbance_torque_scale,disturbance_point_base_x,disturbance_point_base_y,disturbance_point_base_z,disturbance_force_base_x,disturbance_force_base_y,disturbance_force_base_z,tau_disturbance_1,tau_disturbance_2,tau_disturbance_3,tau_disturbance_4,tau_disturbance_5,tau_disturbance_6,tau_disturbance_7,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7
0.000000000,0,0.531336460,0.002512380,0.156836068,0.531341733,0.002540580,0.156815705,0.512000081,-0.057786131,0.137084686,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000005273,0.000028200,-0.000020363,0.000014565,0.000003976,0.000012844,-1.795719247,2.351874674,0.000000000,2.959040739,0.000011959,-0.000308503,0.000687605,0.000000000,0.000000000,0.000000000,0.000178449,-0.001088399,0.000386686,-0.000744905,0.032656637,-0.090976300,-0.000048851,0.028151760,-0.000315479,-2.375788001,-0.237557421,3.942716863,-0.673059410,-2.157687569,0.081484266,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.405812851,0.143985103,0.319476238,-0.018834651,-0.314596831,0.068517835,0.000000000,3,0.999175569,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.663121033,0.075197268,0.691396324,-0.063261039,-0.232282660,-0.036498835,0.165687309
0.001000000,0,0.531334219,0.002509546,0.156834296,0.531341733,0.002540580,0.156815705,0.511997642,-0.057788945,0.137083050,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000007513,0.000031033,-0.000018591,0.000348689,0.000094817,-0.000013888,-1.795710547,2.351490476,0.000000000,2.958730103,-0.000510548,-0.001164854,0.000029376,0.000000000,0.000000000,0.000000000,-0.000016117,0.000392330,-0.001167837,0.069363164,0.114408149,-0.005505777,0.062753686,0.006524506,0.000599314,-2.400542597,-0.245315021,3.941258953,-0.669663180,-2.166820628,0.077037654,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.430567448,0.136227503,0.318018328,-0.015438421,-0.323729890,0.064071222,0.000000000,3,1.000558463,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.619883166,-0.005343174,0.751529894,0.024640481,-0.191008916,0.007984091,0.164915663
0.002000000,0,0.531334878,0.002508948,0.156836875,0.531341733,0.002540580,0.156815705,0.511997957,-0.057789376,0.137085455,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000006855,0.000031632,-0.000021170,0.000681445,0.000197538,-0.000034343,-1.795771470,2.351788484,0.000000000,2.959003928,-0.003265898,-0.000598794,-0.003211666,0.000000000,0.000000000,0.000000000,0.004634685,0.008206966,-0.008332110,0.437229477,0.064198759,0.409117619,0.049878844,-0.174935545,0.018632068,-2.420213688,-0.244204769,3.949302683,-0.668768907,-2.179045500,0.077253977,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.450238539,0.137337755,0.326062058,-0.014544148,-0.335954762,0.064287545,0.000000000,3,1.001223152,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.629896360,-0.471591841,0.736831233,0.537318900,-0.216716253,0.303054699,0.147624891
0.003000000,0,0.531336459,0.002509699,0.156841852,0.531341733,0.002540580,0.156815705,0.511999733,-0.057788658,0.137090339,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000005274,0.000030881,-0.000026147,0.001016924,0.000304519,-0.000062321,-1.795686637,2.352329004,0.000000000,2.959382071,-0.003019051,-0.000202090,-0.002183002,0.000000000,0.000000000,0.000000000,0.002094196,0.007083916,-0.003441344,0.404095972,0.025729259,0.276050911,0.150299818,-0.124446909,0.004054871,-2.432728967,-0.237690750,3.974849466,-0.669332569,-2.197709201,0.080263624,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.462753818,0.143851774,0.351608841,-0.015107810,-0.354618462,0.067297192,0.000000000,3,1.000861666,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.664592632,-0.345949262,0.722416885,0.420601269,-0.146634937,0.234570854,0.161717412
0.004000000,0,0.531336102,0.002507794,0.156842932,0.531341733,0.002540580,0.156815705,0.511998710,-0.057790314,0.137091316,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000005631,0.000032786,-0.000027228,0.001349671,0.000403527,-0.000078620,-1.795742604,2.352415506,0.000000000,2.959484788,-0.002459469,-0.000513643,-0.001996548,0.000000000,0.000000000,0.000000000,0.000542392,0.006982617,-0.002227167,0.329375893,0.055202954,0.252313713,0.234240026,-0.103309721,-0.001072172,-2.438239667,-0.230900720,4.008162059,-0.669837399,-2.218010078,0.083330352,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.468264518,0.150641805,0.384921434,-0.015612640,-0.374919340,0.070363921,0.000000000,3,0.999007059,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.652610351,-0.300360355,0.750497546,0.355949099,-0.089868402,0.196275235,0.166255208
0.005000000,0,0.531334604,0.002508546,0.156837521,0.531341733,0.002540580,0.156815705,0.511997435,-0.057789641,0.137085925,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000007129,0.000032034,-0.000021816,0.001681055,0.000491835,-0.000113206,-1.795901569,2.351884377,0.000000000,2.959159098,-0.002319149,0.000008767,-0.002763314,0.000000000,0.000000000,0.000000000,0.000967622,0.008388299,0.000794031,0.310777075,0.006578869,0.351015241,0.288121544,-0.120580528,-0.010090889,-2.442567391,-0.225969536,4.040545081,-0.669537534,-2.237590925,0.085351075,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.472592242,0.155572988,0.417304456,-0.015312775,-0.394500186,0.072384644,0.000000000,3,0.999811172,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.687968799,-0.367474056,0.726360717,0.402567196,-0.053262120,0.218537264,0.175334728
0.006000000,0,0.531334749,0.002511314,0.156834419,0.531341733,0.002540580,0.156815705,0.511997355,-0.057786784,0.137082774,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000006984,0.000029265,-0.000018714,0.002012695,0.000584574,-0.000138887,-1.796033746,2.351609355,0.000000000,2.959020746,-0.002125120,0.000967653,-0.003495342,0.000000000,0.000000000,0.000000000,0.001439592,0.009075191,0.000743912,0.284757819,-0.083516175,0.444506930,0.340611386,-0.121052881,-0.012502475,-2.452185112,-0.225322416,4.074627114,-0.667598458,-2.259981777,0.085033188,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.482209963,0.156220108,0.451386490,-0.013373699,-0.416891039,0.072066757,0.000000000,3,1.001056017,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.739033593,-0.413583163,0.685694999,0.426769711,-0.025193498,0.221918114,0.177826459
0.007000000,0,0.531333339,0.002510339,0.156828830,0.531341733,0.002540580,0.156815705,0.511995082,-0.057787521,0.137077302,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000008394,0.000030241,-0.000013125,0.002345342,0.000671846,-0.000155792,-1.796096431,2.351023519,-0.000000000,2.958593243,-0.001637338,0.000324385,-0.004544851,0.000000000,0.000000000,0.000000000,0.001335129,0.009959144,-0.002932527,0.219677309,-0.021753875,0.580639706,0.401263893,-0.129770576,-0.006723220,-2.471612351,-0.229874048,4.115076740,-0.663755296,-2.289029359,0.081872329,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.501637202,0.151668476,0.491836116,-0.009530537,-0.445938620,0.068905898,0.000000000,3,1.004676462,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702728072,-0.484215545,0.740911831,0.457885771,0.009294559,0.229406519,0.172527455
0.008000000,0,0.531333365,0.002510311,0.156825596,0.531341733,0.002540580,0.156815705,0.511994985,-0.057787541,0.137074162,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000008368,0.000030269,-0.000009891,0.002679638,0.000765461,-0.000182900,-1.796078360,2.350798515,0.000000000,2.958403477,-0.001271945,0.000195953,-0.004638876,0.000000000,0.000000000,0.000000000,0.000695991,0.006548219,-0.002187205,0.170828579,-0.009555912,0.593342054,0.471399741,-0.027093084,-0.013753709,-2.501545178,-0.235891883,4.162920494,-0.659150381,-2.325500640,0.077854474,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.531570029,0.145650641,0.539679869,-0.004925622,-0.482409902,0.064888043,0.000000000,3,1.002833200,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.701903695,-0.380779246,0.754761914,0.337662409,0.058407440,0.118070107,0.178739539
0.009000000,0,0.531334206,0.002514299,0.156823528,0.531341733,0.002540580,0.156815705,0.511996171,-0.057783639,0.137072022,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,0.531341733,0.002540580,0.156815705,-0.020000000,0.060000000,0.020000000,0.000007527,0.000026281,-0.000007823,0.003012380,0.000862844,-0.000216510,-1.796158054,2.350787499,0.000000000,2.958443108,-0.001705072,-0.000268560,-0.004562585,0.000000000,0.000000000,0.000000000,0.000235705,0.007331540,-0.001877299,0.228597098,0.033551010,0.584262929,0.538454526,-0.028898661,-0.017779245,-2.534300646,-0.239738965,4.211137903,-0.654825370,-2.363357594,0.074952514,-1.969975149,-0.381542524,3.623240625,-0.654224759,-1.843090738,0.012966432,-0.564325497,0.141803559,0.587897279,-0.000600611,-0.520266856,0.061986082,0.000000000,3,0.997216160,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.679352640,-0.389057087,0.784937890,0.363531950,0.105682420,0.131813683,0.181676560
