time,phase,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,tool_contact_x,tool_contact_y,tool_contact_z,first_contact_tcp_x,first_contact_tcp_y,first_contact_tcp_z,first_contact_x,first_contact_y,first_contact_z,edge_target_x,edge_target_y,edge_target_z,tool_contact_offset_ee_x,tool_contact_offset_ee_y,tool_contact_offset_ee_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,angular_deviation_t1_deg,angular_deviation_t2_deg,angular_deviation_normal_deg,angular_deviation_deg,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,external_force_x,external_force_y,external_force_z,external_moment_x,external_moment_y,external_moment_z,contact_force_bias_x,contact_force_bias_y,contact_force_bias_z,contact_moment_bias_x,contact_moment_bias_y,contact_moment_bias_z,force_after_contact_x,force_after_contact_y,force_after_contact_z,moment_after_contact_x,moment_after_contact_y,moment_after_contact_z,push,nullspace_mode,tau_nullspace_norm,nullspace_damping,disturbance_scale,disturbance_torque_scale,disturbance_point_base_x,disturbance_point_base_y,disturbance_point_base_z,disturbance_force_base_x,disturbance_force_base_y,disturbance_force_base_z,tau_disturbance_1,tau_disturbance_2,tau_disturbance_3,tau_disturbance_4,tau_disturbance_5,tau_disturbance_6,tau_disturbance_7,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7
0.000000000,0,0.531351837,0.002509431,0.156890942,0.531364269,0.002505432,0.156879616,0.512040174,-0.057796700,0.137138645,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000012432,-0.000003999,-0.000011326,-0.000001208,-0.000017373,0.000000623,-1.795430977,2.357023174,0.000000000,2.962959776,-0.000347282,-0.000813320,0.000035974,0.000000000,0.000000000,0.000000000,-0.000053091,0.000549386,-0.001488566,0.048283321,0.076018516,-0.005578999,0.000257498,-0.017815653,0.003473951,-2.077876005,0.139470623,3.572461639,-0.961111675,-1.912625137,0.037224117,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.662550494,-0.272673581,0.728225781,0.130430516,-0.598781267,-0.126193939,0.000000000,3,0.999961918,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.636971746,-0.024896515,0.719472074,0.038616400,-0.232854688,0.027354794,0.162101931
0.001000000,0,0.531352724,0.002509658,0.156892840,0.531364269,0.002505432,0.156879616,0.512041032,-0.057796433,0.137140448,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000011545,-0.000004226,-0.000013224,0.000332601,0.000085211,-0.000026010,-1.795430406,2.357296812,-0.000000000,2.963177113,0.000011123,-0.000190752,0.000634434,0.000000000,0.000000000,0.000000000,-0.000025857,-0.000982510,-0.001149960,0.000303065,0.016745760,-0.083191759,0.060022054,0.039224252,-0.001357586,-2.104320531,0.148212125,3.578424179,-0.963655405,-1.925509637,0.042019039,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.688995020,-0.263932079,0.734188321,0.127886786,-0.611665767,-0.121399017,0.000000000,3,0.998658670,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.672292174,0.081090426,0.693839851,-0.070572657,-0.195967337,-0.046262677,0.166381273
0.002000000,0,0.531351175,0.002510182,0.156891960,0.531364269,0.002505432,0.156879616,0.512039528,-0.057795967,0.137139703,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000013094,-0.000004750,-0.000012345,0.000667379,0.000178979,-0.000056738,-1.795380013,2.357064364,0.000000000,2.962961661,-0.000030342,0.000081048,0.000151095,0.000000000,0.000000000,0.000000000,-0.000975743,0.000323887,0.000947796,0.006033764,-0.008493582,-0.021314336,0.135347269,0.024812522,-0.008542602,-2.128172918,0.155638330,3.581044599,-0.965841817,-1.935846026,0.046109092,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.712847407,-0.256505874,0.736808741,0.125700374,-0.622002156,-0.117308964,0.000000000,3,0.997450800,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.692081878,0.031735648,0.687630017,-0.029371420,-0.146107923,-0.024745311,0.173231857
0.003000000,0,0.531349840,0.002506415,0.156893072,0.531364269,0.002505432,0.156879616,0.512038144,-0.057799733,0.137140861,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000014429,-0.000000983,-0.000013457,0.001002241,0.000277617,-0.000084319,-1.795320497,2.357111717,0.000000000,2.962963269,-0.000265463,-0.004507739,0.000427615,0.000000000,0.000000000,0.000000000,-0.000864886,0.000603760,-0.008586100,0.037673736,0.424290584,-0.052649984,0.191771954,0.029549182,0.007851710,-2.150723243,0.168291881,3.581785494,-0.969541462,-1.944808984,0.052964556,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.735397732,-0.243852324,0.737549636,0.122000729,-0.630965114,-0.110453500,0.000000000,3,1.006371457,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.451874139,0.045534213,0.962308176,-0.029573624,-0.102773482,-0.024300528,0.158158554
0.004000000,0,0.531350264,0.002507246,0.156893982,0.531364269,0.002505432,0.156879616,0.512038636,-0.057798933,0.137141798,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000014005,-0.000001814,-0.000014366,0.001336450,0.000375078,-0.000114236,-1.795301514,2.357091037,0.000000000,2.962935316,0.000029428,-0.003088262,0.000453286,0.000000000,0.000000000,0.000000000,-0.001680058,0.001661474,-0.004954240,-0.001798606,0.290360737,-0.057390654,0.265281121,0.022996751,-0.002524149,-2.172294148,0.197277798,3.580268563,-0.977924903,-1.952418552,0.068494179,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.756968637,-0.214866407,0.736032706,0.113617288,-0.638574681,-0.094923877,0.000000000,3,1.003110737,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.531108682,0.047721174,0.890954825,-0.043345828,-0.057100474,-0.026211239,0.167838068
0.005000000,0,0.531349146,0.002507535,0.156889833,0.531364269,0.002505432,0.156879616,0.512037304,-0.057798556,0.137137588,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000015122,-0.000002103,-0.000010217,0.001667026,0.000465853,-0.000141645,-1.795487398,2.356687856,0.000000000,2.962727231,0.000104208,-0.002249542,0.000004479,0.000000000,0.000000000,0.000000000,-0.000923298,0.002386162,-0.003097672,-0.011665197,0.211693675,0.000023381,0.313659538,0.022445089,-0.008883480,-2.194269995,0.234989440,3.576865997,-0.988585911,-1.959389167,0.088658462,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.778944484,-0.177154764,0.732630140,0.102956280,-0.645545296,-0.074759594,0.000000000,3,1.003159577,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.579275962,0.017891373,0.851107993,-0.025342376,-0.027417428,-0.022524070,0.174094528
0.006000000,0,0.531348441,0.002506676,0.156886412,0.531364269,0.002505432,0.156879616,0.512036228,-0.057799345,0.137134317,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000015828,-0.000001244,-0.000006796,0.002001420,0.000557589,-0.000166169,-1.795450587,2.356340496,0.000000000,2.962428622,-0.001095205,-0.002311077,-0.002575676,0.000000000,0.000000000,0.000000000,-0.000608045,0.007044548,-0.005043576,0.148514542,0.220051682,0.331481710,0.368633144,-0.078749564,-0.004835649,-2.218901805,0.269377132,3.580362802,-0.997702101,-1.970968662,0.107057218,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.803576294,-0.142767073,0.736126944,0.093840090,-0.657124791,-0.056360838,0.000000000,3,1.004121948,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.571837658,-0.288453132,0.870732180,0.278501724,0.002344708,0.141830663,0.170413908
0.007000000,0,0.531347682,0.002505269,0.156881936,0.531364269,0.002505432,0.156879616,0.512034767,-0.057800522,0.137129824,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000016587,0.000000163,-0.000002320,0.002332748,0.000648399,-0.000185493,-1.795582448,2.355941607,0.000000000,2.962191281,-0.001168774,-0.001865831,-0.002602252,0.000000000,0.000000000,0.000000000,0.000561805,0.006317039,-0.006494262,0.158460015,0.178324377,0.335135831,0.410043503,-0.045096010,-0.004553259,-2.245376236,0.297996421,3.599657083,-1.004386336,-1.991416326,0.122386570,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.830050725,-0.114147783,0.755421226,0.087155855,-0.677572455,-0.041031485,0.000000000,3,1.002772329,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.592828622,-0.259003845,0.855644708,0.250998560,0.025016340,0.110819880,0.169699554
0.008000000,0,0.531346980,0.002506324,0.156874830,0.531364269,0.002505432,0.156879616,0.512033901,-0.057799455,0.137122842,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000017289,-0.000000892,0.000004786,0.002664830,0.000734297,-0.000215366,-1.795685378,2.355258389,0.000000000,2.961710326,0.000305822,-0.001352793,-0.002153362,0.000000000,0.000000000,0.000000000,0.000124715,0.004005431,-0.003904572,-0.038484375,0.129394261,0.278267613,0.477122049,0.029880607,-0.014825292,-2.272282406,0.319438306,3.629288888,-1.008247362,-2.017600534,0.133940522,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.856956895,-0.092705898,0.785053030,0.083294829,-0.703756663,-0.029477534,0.000000000,3,1.003690551,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.629235258,-0.119983662,0.833956839,0.062222050,0.070779691,-0.010240054,0.179716657
0.009000000,0,0.531346880,0.002504244,0.156870956,0.531364269,0.002505432,0.156879616,0.512033606,-0.057801547,0.137119196,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,0.531364269,0.002505432,0.156879616,-0.020000000,0.060000000,0.020000000,0.000017389,0.000001188,0.000008659,0.003000612,0.000826376,-0.000242681,-1.795572780,2.354930176,-0.000000000,2.961381054,0.000007244,-0.001473164,-0.003112610,0.000000000,0.000000000,0.000000000,-0.001490537,0.005346272,-0.001596384,0.001349315,0.141954524,0.401992780,0.562857131,0.014424711,-0.022259892,-2.301686079,0.332494548,3.661415848,-1.009076648,-2.046249801,0.141102861,-1.415325511,0.412144204,2.844235858,-1.091542191,-1.313843870,0.163418056,-0.886360568,-0.079649656,0.817179990,0.082465543,-0.732405930,-0.022315195,0.000000000,3,1.005729099,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.631474602,-0.209501977,0.852745833,0.144353467,0.128440711,0.025053036,0.187334408
