time,phase,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,tool_contact_x,tool_contact_y,tool_contact_z,first_contact_tcp_x,first_contact_tcp_y,first_contact_tcp_z,first_contact_x,first_contact_y,first_contact_z,edge_target_x,edge_target_y,edge_target_z,tool_contact_offset_ee_x,tool_contact_offset_ee_y,tool_contact_offset_ee_z,p_CoC_x,p_CoC_y,p_CoC_z,r_eff_x,r_eff_y,r_eff_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,angular_deviation_t1_deg,angular_deviation_t2_deg,angular_deviation_normal_deg,angular_deviation_deg,t_align,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,external_force_x,external_force_y,external_force_z,external_moment_x,external_moment_y,external_moment_z,contact_force_bias_x,contact_force_bias_y,contact_force_bias_z,contact_moment_bias_x,contact_moment_bias_y,contact_moment_bias_z,force_after_contact_x,force_after_contact_y,force_after_contact_z,moment_after_contact_x,moment_after_contact_y,moment_after_contact_z,push,nullspace_mode,tau_nullspace_norm,nullspace_damping,disturbance_scale,disturbance_torque_scale,disturbance_point_base_x,disturbance_point_base_y,disturbance_point_base_z,disturbance_force_base_x,disturbance_force_base_y,disturbance_force_base_z,tau_disturbance_1,tau_disturbance_2,tau_disturbance_3,tau_disturbance_4,tau_disturbance_5,tau_disturbance_6,tau_disturbance_7,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7
0.000000000,0,0.531325633,0.002510436,0.156801355,0.531340249,0.002571881,0.156784933,0.512038787,-0.057815728,0.137086018,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531325633,0.002510436,0.156801355,-0.019286846,-0.060326164,-0.019715338,0.000014617,0.000061445,-0.000016422,0.000004796,-0.000008376,0.000122352,-1.764850973,2.344834474,0.000000000,2.934782388,-1.000000000,0.000372736,-0.002049504,0.001369537,0.000000000,0.000000000,0.000000000,0.000392552,-0.002484291,-0.005277507,-0.047503529,0.201072095,-0.176197526,-0.006558907,0.056974878,0.020293501,-3.331938301,-0.285457989,3.867588720,1.328104349,-2.562879541,-0.000197074,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.747701890,0.492679475,0.261705547,-0.203452983,-0.407018467,0.256325983,0.000000000,3,0.999412243,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.553053325,0.157247880,0.804362743,-0.146094015,-0.243114317,-0.082376314,0.145051565
0.001000000,0,0.531325967,0.002508113,0.156803094,0.531340249,0.002571881,0.156784933,0.512039083,-0.057818052,0.137087799,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531325967,0.002508113,0.156803094,-0.019286884,-0.060326166,-0.019715294,0.000014282,0.000063767,-0.000018160,0.000340765,0.000092744,0.000094288,-1.764732715,2.345068058,0.000000000,2.934897911,-1.000000000,0.000239191,-0.001706271,0.001322707,0.000000000,0.000000000,0.000000000,0.000032335,-0.002471525,-0.003795975,-0.029708614,0.169117835,-0.170786335,0.059798137,0.075846202,0.013900628,-3.346090786,-0.312977028,3.879597472,1.335980244,-2.575030090,-0.014745299,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.761854375,0.465160436,0.273714299,-0.195577088,-0.419169016,0.241777758,0.000000000,3,0.998640510,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.575942882,0.169221304,0.793750388,-0.154301930,-0.199704589,-0.096567389,0.151066697
0.002000000,0,0.531325213,0.002502947,0.156804432,0.531340249,0.002571881,0.156784933,0.512037774,-0.057823051,0.137089165,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531325213,0.002502947,0.156804432,-0.019287438,-0.060325997,-0.019715267,0.000015036,0.000068934,-0.000019499,0.000674551,0.000187838,0.000072815,-1.764730721,2.344957682,0.000000000,2.934808520,-1.000000000,-0.001021807,-0.003196918,0.000456997,0.000000000,0.000000000,0.000000000,-0.004719902,0.001210460,0.001272033,0.138855622,0.311185418,-0.058632778,0.193814632,0.004088550,0.002145012,-3.357563920,-0.331375120,3.892314167,1.341257455,-2.586564205,-0.024494065,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.773327510,0.446762344,0.286430994,-0.190299876,-0.430703130,0.232028992,0.000000000,3,0.996733530,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.511327293,0.005858924,0.887343152,0.040620833,-0.101432779,0.021854007,0.162430386
0.003000000,0,0.531323314,0.002503012,0.156803584,0.531340249,0.002571881,0.156784933,0.512035811,-0.057822945,0.137088255,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531323314,0.002503012,0.156803584,-0.019287502,-0.060325957,-0.019715329,0.000016936,0.000068868,-0.000018650,0.001006247,0.000281034,0.000042590,-1.764860391,2.344736850,0.000000000,2.934710053,-1.000000000,-0.002183520,-0.002264595,-0.000913083,0.000000000,0.000000000,0.000000000,-0.004289384,0.004324670,0.004372681,0.294281741,0.224602435,0.116279444,0.247695165,-0.055005552,-0.005558520,-3.361704759,-0.342484846,3.910204350,1.344607309,-2.598211164,-0.030424240,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.777468349,0.435652617,0.304321177,-0.186950023,-0.442350090,0.226098817,0.000000000,3,0.999264513,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.567148239,-0.174120509,0.843811995,0.239650788,-0.068608150,0.129212429,0.170639389
0.004000000,0,0.531322509,0.002505863,0.156803901,0.531340249,0.002571881,0.156784933,0.512035325,-0.057820188,0.137088550,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531322509,0.002505863,0.156803901,-0.019287184,-0.060326051,-0.019715351,0.000017740,0.000066018,-0.000018967,0.001339488,0.000377006,0.000006929,-1.764908777,2.344673937,0.000000000,2.934688886,-1.000000000,-0.002020135,0.003005099,-0.000921626,0.000000000,0.000000000,0.000000000,-0.000305954,0.004893789,0.010718027,0.272578399,-0.272435094,0.112372457,0.248214230,-0.047835042,-0.021174846,-3.357760142,-0.359567474,3.936308007,1.349772162,-2.611369565,-0.039586019,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.773523731,0.418569989,0.330424834,-0.181785170,-0.455508490,0.216937038,0.000000000,3,0.993369786,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.842829121,-0.159778348,0.548140237,0.219099645,-0.082643912,0.116043369,0.185247682
0.005000000,0,0.531324923,0.002503646,0.156805300,0.531340249,0.002571881,0.156784933,0.512037819,-0.057822438,0.137089970,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531324923,0.002503646,0.156805300,-0.019287103,-0.060326084,-0.019715330,0.000015327,0.000068235,-0.000020367,0.001675610,0.000479761,-0.000022566,-1.764783705,2.345001010,-0.000000000,2.934875000,-1.000000000,-0.000345960,0.002082123,0.000702951,0.000000000,0.000000000,0.000000000,0.000444821,0.000842385,0.007572656,0.048607061,-0.186648860,-0.095234222,0.296512005,0.070058951,-0.020610159,-3.349275914,-0.396055835,3.962405907,1.360054464,-2.623244561,-0.059151563,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.765039504,0.382081629,0.356522734,-0.171502867,-0.467383487,0.197371494,0.000000000,3,0.987342055,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.791994549,0.106948142,0.603799723,-0.082767601,-0.047389000,-0.066588750,0.183102547
0.006000000,0,0.531321884,0.002502889,0.156798618,0.531340249,0.002571881,0.156784933,0.512034314,-0.057823175,0.137083681,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531321884,0.002502889,0.156798618,-0.019287570,-0.060326063,-0.019714937,0.000018365,0.000068992,-0.000013685,0.002011862,0.000563617,-0.000049176,-1.764647502,2.344245808,-0.000000000,2.934189704,-1.000000000,-0.001017143,0.003172313,-0.000105079,0.000000000,0.000000000,0.000000000,0.000081423,0.002439911,0.007607923,0.138696006,-0.288514927,0.008342356,0.362645934,0.045258069,-0.022876213,-3.338649113,-0.446893153,3.978013972,1.373386724,-2.629437895,-0.086515164,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.754412702,0.331244311,0.372130799,-0.158170608,-0.473576821,0.170007893,0.000000000,3,0.988165950,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.849179699,0.010536198,0.558873636,0.023994935,-0.011912703,-0.013432675,0.185431059
0.007000000,0,0.531322705,0.002506501,0.156796373,0.531340249,0.002571881,0.156784933,0.512035606,-0.057819727,0.137081479,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531322705,0.002506501,0.156796373,-0.019287099,-0.060326228,-0.019714894,0.000017544,0.000065380,-0.000011440,0.002345846,0.000658561,-0.000087703,-1.764657108,2.344123082,-0.000000000,2.934097431,-1.000000000,-0.000752473,0.003723171,-0.001433995,0.000000000,0.000000000,0.000000000,0.000314268,0.003719751,0.008750265,0.103078424,-0.339715731,0.178674176,0.419516057,0.031137035,-0.028560123,-3.327583151,-0.504393235,3.987260608,1.387412844,-2.632656662,-0.117587397,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.743346741,0.273744229,0.381377435,-0.144144487,-0.476795588,0.138935660,0.000000000,3,0.983626459,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.878882166,-0.088514178,0.533592310,0.087044905,0.024930254,0.008425442,0.190272620
0.008000000,0,0.531323334,0.002508210,0.156794072,0.531340249,0.002571881,0.156784933,0.512036353,-0.057818069,0.137079220,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531323334,0.002508210,0.156794072,-0.019286981,-0.060326279,-0.019714851,0.000016915,0.000063670,-0.000009138,0.002679519,0.000752536,-0.000120702,-1.764677132,2.343946087,-0.000000000,2.933968070,-1.000000000,-0.001009733,0.003689743,-0.002888144,0.000000000,0.000000000,0.000000000,0.000529414,0.006008721,0.009200691,0.137233505,-0.335450915,0.365583889,0.476440358,-0.008855319,-0.031695855,-3.321165492,-0.564288747,4.003577491,1.401066342,-2.641256775,-0.150099205,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.736929082,0.213848717,0.397694318,-0.130490990,-0.485395701,0.106423852,0.000000000,3,0.979346839,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.876929486,-0.234668874,0.541539716,0.215162737,0.062774287,0.072423268,0.192708576
0.009000000,0,0.531323977,0.002505494,0.156792869,0.531340249,0.002571881,0.156784933,0.512036936,-0.057820789,0.137078086,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,0.531340249,0.002571881,0.156784933,-0.020000000,0.060000000,0.020000000,0.531323977,0.002505494,0.156792869,-0.019287041,-0.060326283,-0.019714783,0.000016272,0.000066387,-0.000007935,0.003014503,0.000849239,-0.000149853,-1.764616818,2.343926448,0.000000000,2.933916104,-1.000000000,-0.000310478,0.002623648,-0.002230595,0.000000000,0.000000000,0.000000000,0.000269137,0.003855702,0.007518771,0.043738210,-0.235192613,0.282475556,0.540354031,0.061387170,-0.033087072,-3.321875147,-0.618724167,4.030226322,1.412292833,-2.657670183,-0.179832022,-2.584236410,-0.778137464,3.605883173,1.531557332,-2.155861074,-0.256523057,-0.737638737,0.159413296,0.424343149,-0.119264499,-0.501809108,0.076691036,0.000000000,3,0.984338287,2.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.828205889,-0.104974618,0.613356347,0.069957303,0.107036022,-0.024045146,0.194487867
