run_time_s,segment_id,phase_time_s,event,sigma_min,sigma_rate_per_s,sigma_plus,sigma_minus,probe_difference,probe_confidence,gradient_abs_per_rad,direction_valid,push_active,k_sigma_Nm,alpha_rad,tau_sigma_norm_Nm,sigma_power_W,nullspace_speed_rad_s,speed_toward_better_rad_s,peak_nullspace_speed_rad_s,peak_abs_speed_toward_better_rad_s,min_speed_toward_better_rad_s,max_speed_toward_better_rad_s,raw_joint_speed_rad_s,nullspace_speed_fraction,raw_velocity_dominant_joint,raw_velocity_dominant_share_pct,sigma_dominant_joint,sigma_dominant_share_pct,position_error_mm,rotation_error_deg,peak_position_error_mm,peak_rotation_error_deg,cartesian_speed_mm_s,angular_speed_deg_s,command_force_norm_N,command_moment_norm_Nm,tau_task_norm_Nm,tau_nullspace_norm_Nm,tau_cmd_norm_Nm,nullspace_damping_Nms_rad,disturbance_scale,disturbance_force_norm_N,disturbance_tau_norm_Nm,disturbance_torque_scale,external_force_delta_norm_N,external_moment_delta_norm_Nm,external_joint_torque_delta_norm_Nm,external_joint_torque_along_nbest_Nm,peak_external_force_delta_norm_N,peak_external_moment_delta_norm_Nm,peak_external_joint_torque_delta_norm_Nm,external_joint_torque_baseline_valid,joint_contact,cartesian_contact,Jn_norm,e_p_x_mm,e_p_y_mm,e_p_z_mm,e_R_x_deg,e_R_y_deg,e_R_z_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,dq5_rad_s,dq6_rad_s,dq7_rad_s,n_best_1,n_best_2,n_best_3,n_best_4,n_best_5,n_best_6,n_best_7,dqN_1_rad_s,dqN_2_rad_s,dqN_3_rad_s,dqN_4_rad_s,dqN_5_rad_s,dqN_6_rad_s,dqN_7_rad_s,tau_sigma_1_Nm,tau_sigma_2_Nm,tau_sigma_3_Nm,tau_sigma_4_Nm,tau_sigma_5_Nm,tau_sigma_6_Nm,tau_sigma_7_Nm,tau_ext_delta_1_Nm,tau_ext_delta_2_Nm,tau_ext_delta_3_Nm,tau_ext_delta_4_Nm,tau_ext_delta_5_Nm,tau_ext_delta_6_Nm,tau_ext_delta_7_Nm
0.000000000,0,0.000000000,hold_start,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.863337555,12.104866720,-0.540984852,-130.914489145,-0.127107363,142.885853602,44.743243319,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,0,0.000000000,sample,0.216510031,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000236868,0.000000000,0.000236868,0.000000000,0.000000000,0.000000000,0.002887864,0.082021786,2,45.529364368,0,0.000000000,0.143143659,0.005441114,0.143143659,0.005441114,1.568115222,0.115119283,0.227236091,0.013880885,0.176467212,0.000473735,0.176469095,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.613766752,0.368530404,0.000000000,0.000000000,0.613766752,0.368530404,0.000000000,1,0,0,0.000000000,-0.001314302,0.142567252,-0.012765513,0.001090039,0.000839370,0.005264314,0.850025939,12.103166211,-0.542832049,-130.914829177,-0.128342226,142.885354234,44.734373968,0.001450922,0.001948599,0.000764872,0.000134528,-0.000060772,0.000014977,0.001352960,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000161259,0.000000315,-0.000159648,-0.000000023,0.000055496,0.000000071,-0.000039172,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.050000000,0,0.050000000,sample,0.216511384,0.000027061,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.002077542,0.000000000,0.005394649,0.000000000,0.000000000,0.000000000,0.007894217,0.263172653,5,70.227702524,0,0.000000000,0.146873522,0.014416518,0.146873522,0.014416518,2.815548245,0.433685248,0.400589435,0.071852098,0.410380273,0.004155084,0.410392163,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.599019887,0.160902164,0.261992097,0.000000000,0.624709400,0.372452015,0.290028335,1,0,0,0.000000000,0.047514600,0.065421396,0.122614172,-0.002998958,-0.013491914,0.004100060,0.857000502,12.117184212,-0.542185012,-130.915774046,-0.121416556,142.885995810,44.735284367,0.001060420,0.004121683,0.000265539,-0.000436401,0.006615509,-0.000402031,0.000135470,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001414279,0.000002767,-0.001400091,-0.000000194,0.000487275,0.000000591,-0.000343940,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.024177392,-0.100925567,-0.060334923,0.014686539,0.140256201,0.185212538,0.006152982
0.100000000,0,0.100000000,sample,0.216511593,0.000004165,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000782168,0.000000000,0.005639188,0.000000000,0.000000000,0.000000000,0.001545329,0.506149881,3,62.328798228,0,0.000000000,0.180926631,0.023459561,0.183037702,0.023629072,0.745351410,0.061409156,0.362497446,0.025123321,0.315949131,0.001564336,0.315952682,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.069641546,0.441795320,0.491432965,0.000000000,1.139357286,0.441795320,0.491432965,1,0,0,0.000000000,0.061818819,0.044199623,0.164192792,-0.009304916,-0.017987456,0.011841494,0.858581597,12.121610421,-0.542583651,-130.915857373,-0.110679736,142.886026746,44.735639080,-0.000045898,0.000089339,-0.001220015,0.000671175,-0.000123677,-0.000639225,-0.000123025,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000532445,0.000001044,-0.000527097,-0.000000066,0.000183515,0.000000203,-0.000129533,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.161618114,-0.004690455,-0.045622974,0.026271519,0.361263313,0.286379620,0.008235786
0.150000000,0,0.150000000,sample,0.216511797,0.000004093,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.001372338,0.000000000,0.002460771,0.000000000,0.000000000,0.000000000,0.001648875,0.832287471,1,71.254268968,0,0.000000000,0.169120940,0.021998988,0.180421197,0.023225878,0.644983098,0.087228328,0.350880417,0.023529546,0.311018299,0.002744676,0.311030314,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.159449055,0.567992553,0.561894727,0.000000000,1.159449055,0.567992553,0.561894727,1,0,0,0.000000000,0.059411228,0.029689557,0.155533689,-0.009484301,-0.016980502,0.010279401,0.859788020,12.120598030,-0.542262138,-130.915995581,-0.110519727,142.886161632,44.735470148,0.001391852,0.000142826,-0.000400478,-0.000358760,0.000307335,-0.000357642,-0.000499683,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000934197,0.000001831,-0.000924815,-0.000000116,0.000321958,0.000000355,-0.000227252,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.129747556,-0.001465818,-0.077007143,0.062335514,0.432606324,0.319158620,0.007926872
0.200000000,0,0.200000000,sample,0.216511530,-0.000005349,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000743572,0.000000000,0.001613501,0.000000000,0.000000000,0.000000000,0.001517709,0.489930222,3,33.168276202,0,0.000000000,0.175131123,0.022997788,0.179259128,0.023305714,0.866041360,0.072171150,0.311992666,0.013012464,0.252321053,0.001487143,0.252325926,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.272949894,0.600461068,0.589285734,0.000000000,1.327238110,0.628244496,0.590551622,1,0,0,0.000000000,0.059791789,0.037285630,0.160329766,-0.009556751,-0.017454951,0.011527855,0.859168357,12.121262616,-0.542472108,-130.915788212,-0.110310231,142.886143145,44.735726599,0.000048640,-0.000665623,0.000874078,0.000618685,-0.000222992,-0.000055825,0.000811416,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000506172,-0.000000993,0.000501089,0.000000063,-0.000174455,-0.000000192,0.000123138,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.174416764,0.033750082,-0.071566308,0.063741331,0.447578068,0.325801387,0.006327471
0.250000000,0,0.250000000,sample,0.216511683,0.000003068,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000152210,0.000000000,0.001681186,0.000000000,0.000000000,0.000000000,0.001008183,0.150974830,4,44.317606631,0,0.000000000,0.169609136,0.022165086,0.182135295,0.023215590,0.351719359,0.034144081,0.342001948,0.022174432,0.298482202,0.000304420,0.298482038,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.142091467,0.575252954,0.580254683,0.000000000,1.274963121,0.600360543,0.589107106,1,0,0,0.000000000,0.059131388,0.027543002,0.156563473,-0.009620906,-0.017048227,0.010396497,0.860013829,12.120781583,-0.542280746,-130.915899872,-0.110282062,142.886181694,44.735605232,-0.000124361,-0.000635260,-0.000370155,-0.000671162,0.000012880,-0.000042262,0.000089368,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000103615,0.000000203,-0.000102574,-0.000000013,0.000035710,0.000000039,-0.000025206,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.137270767,-0.010707209,-0.066903763,0.051179972,0.452055478,0.325932613,0.007474158
0.300000000,0,0.300000000,sample,0.216511325,-0.000007170,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000214767,0.000000000,0.001862557,0.000000000,0.000000000,0.000000000,0.001496515,0.143511214,4,57.524257173,0,0.000000000,0.170553389,0.022266022,0.175684174,0.022851626,0.726115451,0.080633717,0.322357940,0.014743752,0.264701466,0.000429533,0.264701819,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.278659737,0.629811476,0.585196962,0.000000000,1.492413979,0.718173441,0.589021885,1,0,0,0.000000000,0.057347164,0.028883672,0.158004730,-0.009639904,-0.016999564,0.010670651,0.859864786,12.121179869,-0.542280746,-130.915596794,-0.110244828,142.886325273,44.735701656,0.000323128,0.000436128,0.000720206,0.001135028,0.000006304,-0.000226730,-0.000294118,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000146198,-0.000000287,0.000144730,0.000000018,-0.000050388,-0.000000055,0.000035566,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.135799644,0.033967878,-0.069902130,0.067113122,0.453141205,0.328732621,0.008219275
0.350000000,0,0.350000000,sample,0.216511698,0.000007473,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000201781,0.000000000,0.001517549,0.000000000,0.000000000,0.000000000,0.001448089,0.139342781,4,59.261102510,0,0.000000000,0.173660261,0.022471798,0.180338249,0.023203056,0.859482984,0.119287212,0.382562147,0.028284788,0.345741622,0.000403561,0.345742637,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.128629028,0.554734751,0.588335131,0.000000000,1.272080316,0.628362957,0.588335131,1,0,0,0.000000000,0.059943336,0.028666740,0.160445944,-0.009701718,-0.017343629,0.010490802,0.859883621,12.121224699,-0.542285267,-130.915899872,-0.110137480,142.886330108,44.735449840,0.000342365,0.000234602,0.000155921,-0.001114757,-0.000226364,-0.000150441,-0.000764096,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000137358,0.000000269,-0.000135979,-0.000000017,0.000047341,0.000000052,-0.000033416,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.159465116,-0.018718017,-0.068482948,0.052578993,0.453143216,0.327875478,0.007947990
0.400000000,0,0.400000000,sample,0.216511805,0.000002132,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2.000000000,0.080000000,0.000000000,0.000000000,0.000468029,0.000000000,0.001514760,0.000000000,0.000000000,0.000000000,0.001647687,0.284052102,7,34.697564808,0,0.000000000,0.171908446,0.022265432,0.174350816,0.022763530,0.661900532,0.058915588,0.360722580,0.026317423,0.324413766,0.000936058,0.324414931,2.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.233766258,0.610036155,0.589651731,0.000000000,1.262485845,0.616235796,0.593476392,1,0,0,0.000000000,0.060404970,0.024584785,0.159057668,-0.009630614,-0.017307446,0.010171186,0.860333524,12.120988453,-0.542282253,-130.915995581,-0.110259415,142.886224848,44.735679971,0.000889613,-0.000245098,-0.000067504,-0.000859350,-0.000093616,-0.000411814,0.000970564,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000318602,0.000000624,-0.000315403,-0.000000040,0.000109806,0.000000121,-0.000077506,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.144786074,0.014483815,-0.073812653,0.072433020,0.454475958,0.330494262,0.006831718
